Name,Information
BLACK AND YELLOW BROADBILL, The Black and Yellow Broadbill is a small; brightly colored bird found in Southeast Asia. They have a distinctive black and yellow plumage and a broad beak; and are known for their sweet; melodious calls.
BLACK BAZA, The Black Baza is a small raptor found in Southeast Asia. They have a distinctive black and white plumage and a hooked beak; and are known for their graceful flight patterns and preference for forested habitats.
BLACK COCKATOO, The Black Cockatoo is a large; striking bird found in Australia. They have a distinctive black plumage and a prominent crest on their head; and are known for their loud; raucous calls and ability to crack open tough nuts and seeds.
BLACK FACED SPOONBILL, The Black-faced Spoonbill is a medium-sized bird found in East Asia. They have a distinctive black and white plumage and a spoon-shaped bill; and are known for their delicate and graceful flight patterns.
BLACK FRANCOLIN, The Black Francolin is a game bird found in India and surrounding areas. They have a distinctive black and brown plumage and a red beak; and are known for their loud; raucous calls and preference for open grassy habitats.
BLACK HEADED CAIQUE, The Black Headed Caique is a small species of parrot native to the Amazon Basin of South America. They are known for their playful and outgoing personalities; and are popular pets due to their intelligence and ability to learn tricks.
BLACK NECKED STILT, The Black-necked Stilt is a wading bird found in shallow lakes and wetlands across North and South America. They are known for their long; thin legs and distinctive black and white plumage; and feed on small invertebrates and crustaceans.
BLACK SKIMMER, The Black Skimmer is a seabird found along the coasts of North and South America; Africa; and Australia. They are known for their unique feeding behavior; which involves flying low over the water with their lower mandible submerged; scooping up small fish and other prey.
BLACK SWAN, The Black Swan is a large waterbird native to Australia. They are known for their striking black plumage and bright red beaks; and are often kept in captivity for ornamental purposes.
BLACK TAIL CRAKE, The Black-tailed Crake is a small; secretive bird found in wetlands and marshes across Asia and the Pacific. They are known for their distinctive black and white plumage and high-pitched calls.
BLACK THROATED BUSHTIT, The Black-throated Bushtit is a small bird found in scrublands and woodlands across Asia. They are known for their sociable behavior; often living in large flocks; and for their distinctive black and white plumage.
BLACK THROATED HUET, The Black-throated Huet is a small bird found in the mountainous regions of Southeast Asia. They are known for their distinctive black and white plumage and their high-pitched; trilling calls.
BLACK THROATED WARBLER, The Black-throated Warbler is a small songbird found in the forests of North America. They are known for their bright yellow plumage; contrasting black throat and mask; and sweet; melodic songs.
BLACK VENTED SHEARWATER, The Black-vented Shearwater is a seabird found along the coasts of North and South America. They are known for their long; slender wings and distinctive black plumage; and feed on small fish and other prey.
BLACK VULTURE, The Black Vulture is a large bird of prey found throughout the Americas. They are known for their distinctive bald heads and black plumage; and feed on carrion and other dead animals.
BLACK-CAPPED CHICKADEE, The Black-capped Chickadee is a small bird found in forests and woodlands across North America. They are known for their distinctive black cap and bib; and their cheerful; chirping songs.
BLACK-NECKED GREBE, The Black-necked Grebe is a waterbird found in lakes and wetlands across Europe and Asia. They are known for their striking black and white plumage and their ability to dive and swim underwater in search of fish and other prey.
BLACK-THROATED SPARROW, The Black-throated Sparrow is a small songbird found in the deserts of the southwestern United States and Mexico. They are known for their gray and white plumage; contrasting black throat and bib; and for their sweet; trilling songs.
BLACKBURNIAM WARBLER, The Blackburnian Warbler is a small songbird found in the forests of North America. They are known for their bright orange and black plumage; and for their high-pitched; buzzy songs.
BLONDE CRESTED WOODPECKER, The Blonde Crested Woodpecker is a striking bird with a bright red crest on its head and a golden-yellow body. It is found in the forests of Southeast Asia; where it feeds on insects and small animals.
BLOOD PHEASANT, The Blood Pheasant is a bird found in the mountainous regions of Asia. It is named for its bright red plumage and is known for its distinctive call.
BLUE COAU, The Blue Coau is a small bird found in Central and South America. It has a bright blue body and is known for its melodious song.
BLUE DACNIS, The Blue Dacnis is a brightly colored bird found in Central and South America. It has a bright blue head and body; with a black mask around its eyes.
BLUE GRAY GNATCATCHER, The Blue Gray Gnatcatcher is a small bird found in North and Central America. It is gray in color with a distinctive black and white striped head.
BLUE GROSBEAK, The Blue Grosbeak is a brightly colored bird found in North and Central America. The male has a bright blue body and a distinctive rusty-brown breast.
BLUE GROUSE, The Blue Grouse is a bird found in North America. It is gray in color with a distinctive blue throat patch and feeds on a variety of vegetation.
BLUE HERON, The Blue Heron is a large wading bird found in North America; Europe; and Asia. It has a distinctive blue-gray plumage and feeds on fish and other small animals.
BLUE MALKOHA, The Blue Malkoha is a bird found in Southeast Asia. It has a blue-gray head and a bright green body and feeds on insects and small animals.
BLUE THROATED TOUCANET, The Blue Throated Toucanet is a brightly colored bird found in Central and South America. It has a green body with a distinctive blue throat patch.
BOBOLINK, The Bobolink is a bird found in North and South America. The male has a distinctive black and white plumage; while the female is a duller brown.
BORNEAN BRISTLEHEAD, The Bornean Bristlehead is a bird found in the rainforests of Borneo. It has a distinctive spiky crest on its head and feeds on insects and small animals.
BORNEAN LEAFBIRD, The Bornean Leafbird is a small bird found in Southeast Asia. It has a bright green body and feeds on insects and small animals.
BORNEAN PHEASANT, The Bornean Pheasant is a bird found in the rainforests of Borneo. It has a distinctive bright red head and feeds on a variety of vegetation.
BRANDT CORMORANT, The Brandt Cormorant is a bird found along the coast of North America. It has a distinctive black and white plumage and feeds on fish and other small animals.
BREWERS BLACKBIRD, The Brewer's Blackbird is a medium-sized bird found in North America. Males are black with a purple iridescence; while females are brown with a streaked breast. They are omnivorous and can be found in a variety of habitats; including urban areas.
BROWN CREEPER, The Brown Creeper is a small bird found in North America. It has a brownish upperpart with white underparts; and it is well-known for its habit of creeping up tree trunks in search of insects. Brown Creepers are generally solitary and can be found in mature forests.
BROWN HEADED COWBIRD, The Brown-headed Cowbird is a small blackbird found throughout North America. Males have a glossy black plumage; while females are brown with a distinctive buff-colored head. They are known for their brood parasitism behavior; where they lay their eggs in the nests of other bird species.
BROWN NOODY, The Brown Noddy is a seabird found in tropical and subtropical oceans worldwide. They have a brownish-grey plumage; with a distinctive white cap on their head. Brown Noddies are known for their habit of plunge-diving for fish and squid.
BROWN THRASHER, The Brown Thrasher is a large songbird found in North America. They have a brownish upperpart with a white breast and distinctive streaking on the sides. Brown Thrashers are known for their ability to mimic the songs of other birds.
BUFFLEHEAD, The Bufflehead is a small sea duck found in North America. Males have a distinctive black and white plumage; while females are brownish-grey with a white patch on their cheeks. Buffleheads are known for their habit of nesting in tree cavities.
BULWER'S PHEASANT, Bulwer's Pheasant is a species of bird found in the forests of Southeast Asia. Males have a distinctive blue-black plumage; while females are brown with white spots. They are shy and elusive birds; and little is known about their behavior in the wild.
BURCHELL'S COURSER, Burchell's Courser is a species of bird found in sub-Saharan Africa. They have a sandy brown plumage with a distinctive black and white striped head. Burchell's Coursers are ground-dwelling birds and are known for their distinctive call.
BUSH TURKEY, The Bush Turkey; also known as the Australian Brush-turkey; is a large bird found in Australia. They have a glossy black plumage with a distinctive red head. Bush Turkeys are known for their habit of building large mound nests and incubating their eggs using the heat generated from the decomposing vegetation.
CAATINGA CACHOLOTE, The Caatinga Cacholote is a species of bird found in the Caatinga region of Brazil. They have a brownish-grey plumage with a distinctive curved bill. Caatinga Cacholotes are known for their cooperative breeding behavior; where multiple individuals help raise the young.
CACTUS WREN, The Cactus Wren is a species of bird found in the southwestern United States and northern Mexico. They have a brownish upperpart with a white breast and distinctive black and white stripes on their head. Cactus Wrens are known for their habit of building nests in cacti.
CALIFORNIA CONDOR, The California Condor is a large bird found in North America. They have a distinctive black plumage with a bald head and neck. California Condors are critically endangered.
CALIFORNIA GULL, The California Gull is a medium-sized gull that breeds along the coasts and inland lakes of western North America. They have a distinctive white head; gray back and wings; and yellow bill. They are opportunistic feeders; feeding on a variety of foods including fish; insects; and human refuse.
CALIFORNIA QUAIL, The California Quail is a small ground-dwelling bird that is native to western North America. They have a distinctive black plume on their heads and a brown and white body. They are social birds that form flocks during the non-breeding season and can often be seen running along the ground in a straight line.
CAMPO FLICKER, The Campo Flicker is a woodpecker that is found in the southwestern United States and Mexico. They have a brown and white body with black spots and a red patch on the back of their head. They are commonly found in oak woodlands and feed on insects and fruits.
CANARY, The Canary is a small songbird that is native to the Canary Islands. They have a yellow or green body and are often kept as pets for their melodic singing. Canaries are also used in scientific research due to their sensitivity to air quality.
CANVASBACK, The Canvasback is a large diving duck that is native to North America. They have a distinctive red head and white body with black wingtips. They feed on aquatic plants and invertebrates and are commonly found on large lakes and rivers.
CAPE GLOSSY STARLING, The Cape Glossy Starling is a bird that is native to southern Africa. They have a glossy black body with iridescent blue and green feathers on their wings and tail. They are often found in urban areas and feed on insects and fruits.
CAPE LONGCLAW, The Cape Longclaw is a bird that is found in southern Africa. They have a distinctive black and yellow body with long legs and a long; curved bill. They are often found in grasslands and feed on insects and small animals.
CAPE MAY WARBLER, The Cape May Warbler is a small bird that breeds in the boreal forests of North America and migrates to the Caribbean and Central America for the winter. They have a distinctive yellow and black body with a chestnut-colored cheek patch. They feed on insects and are often found in coniferous trees.
CAPE ROCK THRUSH, The Cape Rock Thrush is a bird that is found in southern Africa. They have a brown and white body with a bright orange eye. They are often found in rocky habitats and feed on insects and small animals.
CAPPED HERON, The Capped Heron is a small heron that is found in South America. They have a distinctive black cap on their head and a gray body. They are often found in wetlands and feed on fish and aquatic invertebrates.
CAPUCHINBIRD, The Capuchinbird is a bird that is found in the Amazon Rainforest. They have a brown body with a distinctive black and white crest on their head. They are known for their loud; distinctive calls and are often found in the canopy feeding on fruits and insects.
CARMINE BEE-EATER, The Carmine Bee-eater is a bird that is found in sub-Saharan Africa. They have a bright red body and a long; curved bill. They are often found near water and feed on insects; particularly bees and wasps.
CASPIAN TERN, The Caspian Tern is a large seabird that can be found along coastal areas and inland waterways. They have a distinctive long; red bill and a white body with black wingtips. They are skilled hunters and feed on fish and other marine animals.
CASSOWARY, The Cassowary is a large flightless bird found in the forests of Australia and New Guinea. They are known for their colorful necks and large; powerful legs. They are also one of the most dangerous birds in the world; with a sharp; dagger-like claw on their middle toe.
CEDAR WAXWING, The Cedar Waxwing is a small bird with distinctive red tips on their wings and a crest on their head. They are found throughout North America and feed on fruit and insects.
CERULEAN WARBLER, The Cerulean Warbler is a small bird found in the forests of eastern North America. They have a distinctive blue-gray coloration and feed on insects.
CHARA DE COLLAR, The Chara de Collar; also known as the Andean Goose; is a species of goose found in the high Andes of South America. They have a black head and neck with a white band around their neck.
CHATTERING LORY, The Chattering Lory is a small parrot found in the rainforests of Indonesia. They are known for their bright red coloration and their ability to mimic human speech.
CHESTNET BELLIED EUPHONIA, The Chestnut-bellied Euphonia is a small bird found in Central and South America. They have a distinctive chestnut-colored belly and feed on fruit and insects.
CHINESE BAMBOO PARTRIDGE, The Chinese Bamboo Partridge is a small bird found in the forests of China. They are known for their distinctive call and feed on seeds; insects; and small invertebrates.
CHINESE POND HERON, The Chinese Pond Heron is a small heron found in Asia. They are known for their green and blue coloration and feed on fish and other aquatic animals.
CHIPPING SPARROW, The Chipping Sparrow is a small bird found throughout North America. They have a distinctive rusty cap and black eyeline; and feed on seeds and insects.
CHUCAO TAPACULO, The Chucao Tapaculo is a small bird found in the temperate forests of South America. They have a distinctive call and feed on insects and small invertebrates.
CHUKAR PARTRIDGE, The Chukar Partridge is a small bird found in the Middle East and southern Asia. They are known for their distinctive call and feed on seeds; fruits; and insects.
CINNAMON ATTILA, The Cinnamon Attila is a small bird found in Central and South America. They have a distinctive cinnamon-colored head and feed on fruit and insects.
CINNAMON FLYCATCHER, The Cinnamon Flycatcher is a small bird found in South America. They have a distinctive cinnamon-colored head and feed on insects.
CINNAMON TEAL, The Cinnamon Teal is a small duck found throughout North and South America. They have a distinctive cinnamon-colored body and feed on aquatic plants and invertebrates.
CLARKS GREBE, The Clark's Grebe is a large waterbird found in North America. They have a distinctive black and white coloration and feed on fish and other aquatic animals.
Clarks Nutcracker, This bird is a member of the crow family and is found in the mountainous regions of western North America. It has a distinctive black and white coloration and a strong; curved beak that it uses to extract seeds from pine cones.
Cock of the Rock, This bird is a brightly-colored species of cotinga found in the forests of South America. The males have large; fan-shaped crests on their heads that they use during courtship displays to attract females.
Cockatoo, Cockatoos are a family of parrots found in Australia; Indonesia; and other parts of the Pacific. They are known for their distinctive crests and raucous calls; and are popular as pets.
Collared Aracari, This small toucan is found in Central and South America. It has a distinctive yellow collar around its neck and a brightly-colored bill that it uses to feed on fruit and insects.
Collared Crescentchest, This bird is a species of antbird found in the forests of South America. It has a distinctive crescent-shaped patch of white feathers on its chest and is known for its distinctive song.
Common Firecrest, This small bird is found in Europe and Asia and is known for its brightly-colored crown and distinctive song. It feeds on insects and spiders.
Common Grackle, This bird is a member of the blackbird family and is found in North and Central America. It has a distinctive glossy black coloration and a long; keel-shaped tail.
Common House Martin, This small bird is found throughout Europe; Asia; and Africa. It builds mud nests under eaves and overhangs and feeds on insects.
Common Iora, This small bird is found in Southeast Asia and India. It has a distinctive green coloration and is known for its lively; energetic behavior.
Common Loon, This large waterbird is found in North America and Europe. It has a distinctive black-and-white coloration and a haunting; tremolo-like call.
Common Poorwill, This bird is a type of nightjar found in western North America. It is known for its ability to go into torpor; a state of reduced metabolic activity; to conserve energy during periods of cold weather or food scarcity.
Common Starling, This bird is found throughout Europe; Asia; and North America. It has a distinctive glossy black coloration and is known for its mimicry of other bird calls and human speech.
Coppersmith Barbet, This small bird is found in South and Southeast Asia. It has a distinctive red forehead and a loud; distinctive call that sounds like a hammer striking metal.
Coppery Tailed Coucal, This bird is found in Southeast Asia and has a distinctive copper-colored tail. It is known for its loud; raucous calls and habit of skulking in dense vegetation.
Crab Plover, This bird is found in the coastal regions of the Indian Ocean and the Red Sea. It has a distinctive black-and-white coloration and feeds on crabs and other small crustaceans.
Crane Hawk, The Crane Hawk is a bird of prey found in the forests of Central and South America. It has a distinctive long; hooked bill and bright yellow eyes. It feeds primarily on small mammals; reptiles; and birds; which it hunts by flying low over the forest canopy.
Cream Colored Woodpecker, The Cream Colored Woodpecker is a medium-sized woodpecker found in the forests of Central and South America. It has a distinctive cream-colored head and black-and-white body. It feeds on insects; fruits; and seeds; which it finds by pecking at trees with its powerful bill.
Crested Auklet, The Crested Auklet is a small seabird found in the North Pacific. It has a distinctive black crest on its head and a bright orange bill. It feeds primarily on small fish and crustaceans; which it catches by diving into the water from the air.
Crested Caracara, The Crested Caracara is a bird of prey found in North; Central; and South America. It has a distinctive featherless face and a long; hooked bill. It feeds on a variety of prey; including small mammals; birds; reptiles; and carrion.
Crested Coua, The Crested Coua is a large; colorful bird found in Madagascar. It has a distinctive blue face and a long; curved bill. It feeds on insects; small vertebrates; and fruit; which it finds by hopping along the forest floor.
Crested Fireback, The Crested Fireback is a large; colorful pheasant found in Southeast Asia. It has a distinctive crest of feathers on its head and a bright red face. It feeds on a variety of plant and animal matter; including fruits; seeds; insects; and small vertebrates.
Crested Kingfisher, The Crested Kingfisher is a large; colorful kingfisher found in East Asia. It has a distinctive crest of feathers on its head and a bright blue back. It feeds primarily on fish; which it catches by diving into the water from a perch.
Crested Nuthatch, The Crested Nuthatch is a small songbird found in Europe and Asia. It has a distinctive crest of feathers on its head and a gray-and-white body. It feeds on insects; spiders; and seeds; which it finds by climbing up and down trees.
Crested Oropendola, The Crested Oropendola is a large; colorful bird found in Central and South America. It has a distinctive crest of feathers on its head and a bright yellow tail. It feeds on a variety of plant and animal matter; including fruit; insects; and small vertebrates.
Crested Serpent Eagle, The Crested Serpent Eagle is a bird of prey found in South and Southeast Asia. It has a distinctive crest of feathers on its head and a yellow-and-brown body. It feeds primarily on snakes; lizards; and other small vertebrates; which it catches by swooping down from a perch.
Crested Shriketit, The Crested Shriketit is a small songbird found in Southeast Asia. It has a distinctive crest of feathers on its head and a black-and-white body. It feeds on insects; spiders; and fruit; which it finds by hopping along tree branches.
Crested Wood Partridge, The Crested Wood Partridge is a colorful game bird found in Southeast Asia. It has a distinctive crest of feathers on its head and a reddish-brown body. It feeds on a variety of plant and animal matter; including fruit; insects; and small vertebrates.
Crimson Chat, The Crimson Chat is a small passerine bird found across Australia. Males are a bright crimson color with a black mask; while females are grey-brown.
Crimson Sunbird, The Crimson Sunbird is a brightly colored passerine bird found in tropical Asia. Males have a crimson head and breast; while females have a greenish-yellow head and back.
Crow, The Crow is a large black passerine bird found worldwide. They are known for their intelligence and adaptability.
Crowned Pigeon, The Crowned Pigeon is a large; ground-dwelling bird found in the rainforests of New Guinea. They have a distinctive crest of feathers on their head and are known for their loud calls.
